,,,,,,,,
,,,,,,,,
External Reference,What programming languages do you know? ,,,,,,,
,R,Python,Matlab,C/C++,Java,SAS,Fortran,Other
test_response,,,,,,,,
,1,1,1,1,1,,,
,1,1,,1,,1,,
,1,,,,,1,,
,,,,,,,,
,1,1,,1,,1,1,
,1,,,,,1,,
,1,1,,,,,,perl
,1,,,,,,,
,1,1,,,,1,,
,,,,,,,,
,,1,,1,1,,,
,,1,,,1,,,
,1,1,,,,,,
,,,,,,,,SQL
,1,,,1,1,,,"Pl/SQL, Oracle SQL"
,1,1,,,,,,
,,1,1,1,,,,
,,,,,,,,
,1,,,1,,1,,SPSS; Amos
,,,,,,1,,
,,,,,,,,none
,1,1,,,,,,
,1,1,1,1,,,,Julia
,1,1,,,,1,,
,,1,,,,,,
,,,,,,1,,
,1,,,,,1,,
,1,1,1,,1,,,
,,1,,,,,,Php
,1,1,,1,1,,,
,1,1,,,,,,
,1,1,1,1,,,,
,,,1,1,,,1,
,1,,,,,1,,
